dates,number_of_marriage
2020-08-24,18
2021-06-03,23
2022-02-21,16
2019-03-07,17
2018-03-14,11
2023-07-19,20
2021-02-14,12
2022-12-16,18
2018-12-14,22
2023-06-11,12
2018-05-20,20
2023-02-09,23
2018-10-27,20
2022-05-30,11
2020-10-09,14
2021-03-02,10
2022-09-21,14
2020-11-15,24
2018-08-08,8
2019-06-14,12
2020-02-07,13
2020-03-19,13
2022-01-16,22
2022-01-08,19
2019-10-22,15
2019-08-03,15
2018-01-02,12
2018-04-15,19
2020-10-13,18
2021-08-12,10
2019-03-15,17
2018-12-30,13
2021-07-22,18
2019-05-02,11
2018-10-07,17
2018-02-08,13
2022-01-25,19
2019-09-24,12
2018-03-27,12
2023-01-28,19
2019-01-20,12
2019-12-01,12
2020-09-19,18
2019-03-01,17
2021-11-10,20
2019-08-01,19
2019-08-12,18
2020-01-13,18
2022-08-03,13
2022-10-07,12
2019-12-18,15
2023-03-12,16
2018-04-12,15
2018-11-19,16
2019-09-06,16
2019-02-04,17
2022-11-16,15
2018-06-14,11
2022-12-17,15
2021-03-07,13
2023-11-10,21
2022-06-19,11
2020-10-08,15
2019-05-22,14
2022-07-29,13
2022-05-08,15
2018-11-13,12
2020-09-30,15
2019-01-09,15
2022-01-17,15
2022-05-16,14
2019-02-10,19
2021-12-27,16
2022-03-06,13
2021-11-10,24
2020-04-29,10
2023-04-24,15
2022-10-07,13
2019-12-08,7
2018-06-14,21
2020-09-30,21
2019-04-07,17
2023-06-26,17
2021-08-01,17
2018-02-10,18
2021-07-12,17
2018-10-25,13
2022-08-11,21
2020-01-26,14
2018-01-05,20
2018-11-23,20
2021-12-08,13
2023-07-15,18
2021-10-26,20
2023-03-12,14
2021-09-29,15
2023-08-12,11
2021-07-26,19
2018-02-01,16
2020-12-07,17
